Country,Human Development Index (HDI) ,HDI Group,HDI rank,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank 2018,Change in HDI rank (2014-2019),Inequality-adjusted HDI,Gender Inequality Index,"Maternal mortality ratio (2017, deaths per 100,000 live births)","Adolescent birth rate (2015-2020, births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),"Female population with at least some secondary education (2015-2019, % ages 25 and older)","Male population with at least some secondary education (2015-2019, % ages 25 and older)",Female labour force participation rate (% ages 15 and older),Male labour force participation rate (% ages 15 and older),Population (millions),Average annual population growth 2015-2020 (%),Urban population (%),Population under age 5 years (millions),Population age 15-64 years (millions),Population age 65+ years (millions),Median age (years),"Total fertility rate (2015-2020, births per woman)","Infants exclusively breastfed (2010-2019, % ages 0–5 months)",Infants lacking DTP immunization (% of one-year-olds),Infants lacking measles immunization (% of one-year-olds),"Child malnutrition - stunting (moderate or severe) (2010-2019, % under age 5)","Infant mortality (2018, per 1,000 live births)","Child under 5y mortality (2018, per 1,000 live births)","Adult female mortality (2018, per 1,000 people)","Adult male mortality (2018, per 1,000 people)","Female mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Male mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Malaria incidence (2018, per 1,000 people at risk)","Tuberculosis incidence (2018, per 100,000 people)","HIV prevalence, adult (2018, % ages 15–49)",Healthy life expectancy at birth (years),"Current health expenditure (2017, % of GDP)","Adult literacy rate (2008-2018, % ages 15 and older)","Female youth literacy rate (2008-2018, % ages 15–24)","Male youth literacy rate (2008-2018, % ages 15–24)","Population with at least some secondary education (2015-2019, % ages 25 and older)","Pre-primary gross enrollment ratio (2014-2019, % of preschool-age children)","Primary gross enrollment ratio (2014-2019, % of primary school–age population)","Secondary gross enrollment ratio (2014-2019, % of secondary school–age population)","Tertiary gross enrollment ratio (2014-2019, % of tertiary school–age population)","Government expenditure on education  (2013-2018, % of GDP)",Total GDP (2017 PPP $ billions),Per capita GDP (2017 PPP $ billions),Annual growth in per capita GDP (%),"Total tax revenue (2014-2019, % of GDP)",Consumer price index (2010=100),Employment to population ratio (% ages 15 and older),"Prison population (2013-2018, per 100,000 people)","Homicide rate (2013-2018, per 100,000 people)","Female suicide rate (2016, per 100,000 people)","Male suicide rate (2016, per 100,000 people)","Depth of food deficit (Average dietary energy supply adequacy, 2017/2019, %)",Exports and imports (% of GDP),"Net migration rate (2015/2020, per 1,000 people)",Stock of immigrants (% of population),"Internet users (2018, % of population)","Female internet users (2018, % of female population)","Mobile phone subscriptions (2018, per 100 people)","Mobile phone subscriptions (2010-2018, % change)"
Samoa,0.715,High,111,73.32,12.7297,10.77921,6308.652491,19,113,-3,..,0.36,43,23.886,10,79.1274861,71.58292158,31.104,55.456,0.197093,0.5,18.1,0.027497,0.112742,0.009722,21.835,3.9029,70.3,14,13,4.918621,13.565309,15.770385,80.735,138.239,412.2,697.4,..,6.4,..,61.820831,5.482786,99.09577,99.43575,98.84151,74.94214347,48.76443,110.52421,93.25814,..,4.08047,1.284487785,6517.033669,2.965218096,25.46019,117.5555221,40.033,205.1,3.146105122,2.2,8.7,131,91.12301,-14.302,2.047215331,33.6109,..,63.5832,15.1828
Turkmenistan,0.715,High,111,68.19,11.1894,10.27379667,14908.6706,-32,112,4,0.586,..,7,24.418,25,..,..,51.407,78.315,5.942094,1.608,52,0.675611,3.841524,0.272885,26.937,2.785,58.263569,1,1,11.46035,39.339579,45.807851,128.231,243.687,684.6,1005,0,46,..,62.871742,6.930448,99.7,99.9,99.77,..,57.9761,88.40043,85.81854,7.96587,..,86.8586567,14845.32943,4.507616162,..,..,61.959,528.9,..,3.7,11,123,35.16339,-0.862,3.283811468,21.251,..,162.861,100.0049
Venezuela (Bolivarian Republic of),0.711,High,113,72.06,12.81608,10.30728,7044.638972,11,101,-44,0.588,0.479,125,85.337,22.15568862,71.71238,66.61428,45.44,74.853,28.515829,-1.125,88.2,2.419176,18.530996,2.170506,29.592,2.283,..,15,7,13.4,21.426527,24.509065,94.804,206.678,381.7,593.4,32.67858,48,..,65.437109,1.18121,97.12709,99.09258,98.44194,69.20773,69.51507,97.15034,88.07702,..,..,..,..,-4.731050162,..,2740.273985,54.473,194.2,36.68763484,1.2,6.6,91,48.09081,-22.327,4.824303021,72,50.6182,71.7661,-26.2655
South Africa,0.709,High,114,64.13,13.7912,10.24064634,12129.23006,-14,115,-2,0.468,0.406,119,67.908,45.33333333,74.97650898,78.20732748,49.61,62.749,58.558267,1.368,66.9,5.7856,38.423851,3.171038,27.621,2.4139,31.614695,16,28,27.42128,28.490947,33.800889,248.816,376.404,580,907.8,1.65073,520,20.4,56.177157,8.113118,87.04667,96.87589,93.75609,75.47826427,24.61863,100.86473,104.69798,22.36603,6.15899,730.913368,12481.81287,-1.179143333,27.46522,158.9279375,40.231,284,36.39917415,5.1,21.7,120,59.20454,2.536,7.213765024,56.1674,..,153.25,54.8998
"Palestine, State of",0.708,High,115,74.05,13.4094,9.16551,6417.389121,12,114,-6,0.613,..,27,52.766,..,63.54091,64.93922,17.693,69.497,4.981422,2.38,76.4,0.690318,2.898039,0.15808,20.769,3.6677,38.135483,1,1,7.395957,17.312969,20.265539,92.308,126.513,..,..,..,0.77,..,64.41598,..,97.21861,99.38239,99.29223,64.24537,56.47925,98.60411,89.48775,44.25381,5.25234,25.86850027,5661.634428,-1.618564497,6.3861,112.516118,32.366,22.2,0.49352475,..,..,94,79.60098,-2.194,5.093627921,64.4,60.2284,89.4854,25.2887
Egypt,0.707,High,116,71.99,13.32624,7.434,11466.14512,-14,117,1,0.497,0.449,37,53.819,14.93288591,73.50696,72.53537,21.933,70.858,100.388076,2.033,42.7,12.803816,61.125135,5.296806,24.606,3.33,39.536598,4,5,22.26887,18.102478,21.225325,105.456,182.7,711.8,965.7,0,12,0.1,62.469059,5.287637,71.16825,86.81055,89.48338,72.95913,28.70762,106.28493,87.91114,35.16452,..,1180.890365,11763.25364,3.492042607,12.51921,264.3750554,41.419,112.2,..,1.7,7.2,143,48.27827,-0.391,0.502104468,46.9243,41.2807,95.2866,9.9072
Marshall Islands,0.704,High,117,74.11,12.39008,10.8856786,5039.043833,21,116,..,..,..,..,..,6.060606061,91.64424,92.46859,..,..,0.058791,0.601,77.4,..,..,..,..,..,43.117062,4,15,34.7802,27.39588,33.13828,..,..,..,..,..,434,..,57.382093,16.40294,98.26508,98.7567,98.16972,92.0607,38.22368,84.74016,64.44054,..,..,0.227470586,3894.177419,2.994982208,17.81424,..,..,61.4,..,..,..,..,125.7277,..,5.606300284,38.7012,..,27.5586,26.3642
Viet Nam,0.704,High,117,75.4,12.692323,8.32,7432.706806,3,118,1,0.588,0.296,43,30.929,26.72064777,66.43856115,78.16887914,72.708,82.363,96.462108,0.981,36.6,7.89095,66.783135,7.286411,32.49,2.0556,23.998344,4,5,23.8,16.497314,20.683017,76.363,188.583,319.6,593.5,0.08228,182,0.3,65.74153,5.532128,95.00038,98.35314,98.46012,69.77873171,100.23493,110.59481,..,28.54497,4.17277,775.6690177,8041.178551,5.99486601,..,163.5169479,75.888,137.4,..,3.4,10.8,127,210.4002,-0.842,0.07889523,70.3496,..,147.195,20.364
Gabon,0.703,High,119,66.47,12.97731,8.698,13929.80613,-30,119,0,0.544,0.525,252,96.227,17.94871795,66.23708064,50.63732373,43.526,61.833,2.172578,2.669,89.7,0.316296,1.28781,0.077013,22.511,4,5.0756083,23,38,17.03443,32.697464,44.760533,182.317,238.333,484.2,525.7,248.2264,525,3.8,58.819392,2.780746,84.66716,91.44938,88.14196,58.82,..,..,..,..,2.66667,32.30579657,14869.79142,0.857346404,10.21839,122.6279263,42.314,173.2,..,4.3,15,115,72.93916,1.562,18.93892006,62,..,138.281,39.1516
Kyrgyzstan,0.697,Medium,120,71.45,12.96756,11.10481377,4864.390351,23,120,-4,0.63,0.369,60,32.763,19.16666667,99.09042481,98.34,44.768,75.735,6.415851,1.812,36.6,0.772574,4.035443,0.295145,26.034,3,45.557854,1,4,11.75342,16.921962,18.941158,94.014,210.663,610.4,990.2,0,116,0.2,64.933891,6.185863,99.586,99.81,99.69,98.42,39.81791,107.56541,95.05481,41.26702,6.02619,33.9187251,5253.097478,2.336684474,17.99886,155.6761524,56.044,177.1,2.189077613,3.7,14.8,119,103.085,-0.641,3.121332325,38,..,122.57,25.2776
Morocco,0.686,Medium,121,76.68,13.72117,5.648,7368.360268,1,121,2,..,0.454,70,31.034,18.44660194,29.08900478,35.95105301,21.469,70.139,36.471766,1.256,63,3.370418,23.972906,2.662606,29.538,2.42,35,1,1,15.10642,19.225858,22.411321,62.159,72.327,483.8,580.1,0,99,0.1,63.825392,5.2452,73.75001,97.4,98.04,32.39562931,50.8886,113.87658,80.2262,35.93593,..,278.4522109,7514.720881,1.036395573,21.90661,111.0675582,41.22,232.5,1.415522885,3.6,2.5,141,87.46319,-1.437,0.270274798,64.8039,61.1112,124.172,25.2885
Guyana,0.682,Medium,122,69.91,11.43113,8.489781305,9455.014358,-10,121,-2,0.556,0.462,169,74.382,31.88405797,70.92,56.44,43.943,68.476,0.782775,0.492,26.7,0.074579,0.511609,0.052539,26.687,2.4728,21.100428,1,2,11.27089,25.128225,30.144712,182.082,268.873,778.1,886.9,44.37059,83,1.4,58.366141,4.94551,85.63973,97.03701,96.33186,64.18,..,..,..,..,5.88842,7.594848842,9702.578857,4.192719708,..,116.1914755,49.524,275.2,14.24890919,14.2,46.6,123,79.08176,-7.722,2.005580212,37.3258,..,82.9711,8.1953
Iraq,0.674,Medium,123,70.6,11.27,7.316,10800.83898,-16,123,4,0.541,0.577,79,71.733,25.22796353,39.52,56.52,11.619,74.228,39.309789,2.457,70.7,5.373938,23.027886,1.33596,21.04,3.682,25.822445,7,18,12.64298,22.471766,26.712473,129.1,185.811,604.5,695.5,0,42,..,63.378594,4.16663,85.6,92.1,94.9,48.02,..,..,..,..,..,427.736528,10881.17246,2.07390219,1.97947,119.8571739,37.484,105,10.07025321,3.4,4.7,113,76.37386,0.207,0.936311452,49.36,51.2353,94.883,16.6622
El Salvador,0.673,Medium,124,73.32,11.6908,6.907268,8359.115144,-6,124,-3,0.529,0.383,46,69.459,30.95238095,39.9476,46.38389461,45.32,75.74,6.45355,0.503,72.7,0.577571,4.173653,0.5466,27.552,2.0529,46.734215,18,18,13.64843,11.753018,13.653433,103.299,268.447,412.3,594.2,0,70,0.6,65.534009,7.22756,89.0086,98.21068,97.72745,42.8187919,66.69644,94.82711,71.66179,29.37193,3.60075,56.63629413,8775.98652,1.861864673,18.06191,111.2283523,56.668,617.4,52.01892617,4.3,24.8,117,77.17888,-6.329,0.660364918,33.8207,32.7032,146.913,22.39
Tajikistan,0.668,Medium,125,71.1,11.6618,10.7337,3953.598166,25,126,-2,0.584,0.314,17,57.076,20,93.32986,95.73984,31.284,52.834,9.321023,2.412,27.3,1.34684,5.57797,0.287646,22.416,3.6075,35.797085,2,2,17.51027,30.424699,34.774995,96.277,164.528,618.5,803.5,0,84,0.2,61.844243,7.228815,99.8,99.9,99.86,94.52945,9.9137,100.85744,..,31.25656,5.23139,31.50269844,3379.748697,4.48344979,..,148.5675345,37.391,..,..,1.7,5,92,56.64275,-2.223,2.940354798,21.96,..,111.528,32.605
Cabo Verde,0.665,Medium,126,72.98,12.7042,6.287719287,7019.168144,-1,125,-4,..,0.397,58,73.759,23.61111111,28.77587928,31.23702564,53.342,67.556,0.549936,1.157,66.2,0.05258,0.367877,0.025841,27.604,2.2885,..,4,2,..,16.671506,19.486576,85.514,182.203,517.1,627.3,0.01415,46,0.6,64.618623,5.165489,86.79029,98.73018,97.58501,30.09821518,73.2327,104.02797,88.15511,23.61651,5.17322,3.944045537,7171.839466,4.482596583,20.08675,110.5016063,53.049,288.1,6.804422507,7.7,24.1,104,116.2145,-2.483,2.848336622,58.1714,56.9389,112.241,36.7578
Guatemala,0.663,Medium,127,74.3,10.75268,6.62261,8494.085111,-10,128,-1,0.481,0.479,95,70.93,19.375,38.60151499,37.54914304,39.914,86.345,17.581476,1.949,51.4,2.055786,10.761919,0.866589,22.881,2.8989,53.236492,8,10,46.71361,22.063474,26.18502,111.16,201.48,409.2,502.6,0.27041,26,0.4,62.906719,5.813844,81.2859,93.26925,95.48186,38.11300714,50.74465,101.90262,52.72243,21.78329,2.92707,143.4181932,8637.555325,2.238176127,10.59126,142.9213949,60.817,140.9,22.50134872,1.7,4.4,116,45.86558,-0.539,0.457419037,65,..,118.667,-4.829
Nicaragua,0.66,Medium,128,74.49,12.31796,6.912,5283.658869,6,127,-3,0.505,0.428,98,84.99,44.56521739,48.46432692,46.79803681,49.669,84.232,6.545503,1.25,58.8,0.661063,4.234098,0.357252,26.464,2.42,31.7,1,1,17.25934,15.684556,18.293831,102.575,200.678,412.3,548,7.14268,41,0.2,65.77815,8.645465,82.61455,93.60194,89.64283,47.77025701,..,..,..,..,4.33953,35.39221464,5407.104702,-5.053158059,15.65299,162.7396072,61.864,323.5,7.185947903,5,19.2,114,95.07565,-3.311,0.644289773,27.863,..,115.096,47.0637
Bhutan,0.654,Medium,129,71.78,12.982658,4.0738,10745.84396,-21,131,1,0.476,0.421,183,20.184,15.27777778,23.27543,31.37641,58.862,73.442,0.763094,1.167,41.6,0.063561,0.523226,0.0465,28.144,2,53.158291,1,3,33.5091,24.783805,29.699283,194.721,197.28,590.3,572.7,0.01075,149,0.3,63.234813,3.186962,66.56115,92.89112,93.27016,27.62122,34.44237,100.13968,90.09468,15.55451,6.64043,8.558935579,11345.44493,1.822273289,16.01884,167.1824587,65.152,155.6,1.193007386,8.9,13.8,..,86.71172,0.427,6.978712921,48.1064,..,93.2616,35.7395
Namibia,0.646,Medium,130,63.71,12.63338796,6.99,9356.673607,-17,129,-2,0.418,0.44,195,63.627,36.95652174,40.56738384,42.0042855,56.089,63.331,2.494524,1.863,51,0.3344,1.483901,0.089998,21.832,3.4153,48.324806,8,20,22.71634,28.967246,39.618699,248.938,349.317,606.7,762.8,26.7056,524,11.8,56.770229,8.550957,91.52727,96.19844,94.10937,41.19870317,34.20079,124.24839,..,22.88816,3.10315,24.040236,9637.18055,-2.968118636,29.26417,157.968368,47.464,313.8,..,4.9,19.4,106,83.47556,-1.979,4.311874381,51,..,112.702,20.6686
India,0.645,Medium,131,69.66,12.16229,6.5,6681.346904,-5,130,1,0.475,0.488,133,13.177,13.48600509,27.6706,47.0304,20.524,76.081,1366.417756,1.039,34.5,116.781811,915.55201,87.149006,28.426,2.2402,58,6,5,34.7,29.940939,36.57424,147.161,203.623,524.9,672.5,5.33043,199,..,60.520989,3.53496,74.37299,90.16941,92.99297,39.33627898,13.73929,112.95786,75.16113,28.06055,3.84467,9229.177054,6754.286547,3.963162537,11.17992,180.4358124,46.653,32.7,3.079232442,14.5,18.5,109,40.01854,-0.396,0.377244586,34.45,..,86.9426,26.0011
Honduras,0.634,Medium,132,75.27,10.06014,6.573452,5308.452598,1,132,0,0.472,0.423,65,72.912,21.09375,32.20528,29.59922,51.987,85.927,9.746115,1.666,57.7,1.010874,6.238724,0.470559,24.344,2.4872,30.749973,10,13,22.62242,15.109255,17.598572,115.541,166.999,401.1,493.2,0.13288,37,0.3,63.018726,7.858425,87.20524,98.1851,94.89199,30.97960906,41.14676,91.53496,52.17891,26.16422,6.0812,55.82550061,5727.973572,0.982330295,17.34447,150.3443578,65.067,216.2,38.9255911,1.7,5.3,116,96.61335,-0.715,0.399471913,31.7,..,79.1503,-35.1277
Bangladesh,0.632,Medium,133,72.59,11.59809,6.219339024,4976.209148,7,134,8,0.478,0.537,173,82.962,20.63037249,39.83654,47.52994,36.26,81.366,163.046173,1.051,37.4,14.418745,110.22782,8.446372,27.567,2.052,65,1,3,30.8,25.13754,30.157008,114.505,151.411,475.6,549.6,0.69274,221,0.1,64.533869,2.274249,73.9122,94.91259,91.80372,43.9803235,40.81816,116.46634,72.6906,20.56507,1.98602,775.0767623,4753.725923,7.031583836,8.76503,179.6798217,56.521,51.6,2.373328796,6.7,5.5,109,36.7593,-2.303,1.34048725,15,5.09841,97.2812,51.2546
Kiribati,0.63,Medium,134,68.37,11.801993,7.984461822,4259.732067,12,133,-3,0.516,..,92,16.177,6.52173913,..,..,..,..,0.117608,1.48,54.8,0.014959,0.070658,0.0048,23.04,3.5836,66.379959,1,6,..,41.231508,52.513067,153.038,235.02,676.1,962.7,..,349,..,53.536979,10.757597,..,..,..,0,..,101.30461,..,..,..,0.267573796,2275.171299,0.71808075,21.96774,99.54742449,..,114.2,..,5.4,25.9,137,98.39241,-6.943,2.569596789,14.5818,..,46.6132,36.3195
Sao Tome and Principe,0.625,Medium,135,70.39,12.68717,6.436763183,3952.072482,16,135,1,0.52,0.537,130,94.61,14.54545455,31.51726344,45.82051427,41.421,74.37,0.215048,1.887,73.6,0.031559,0.118049,0.006364,18.612,4.35,71.715233,3,5,17.19547,24.43324,31.207324,124.395,188.249,614.3,659.5,13.91732,124,..,62.281419,6.229991,92.81664,97.85418,97.71246,40.801824,50.30805,106.79154,89.33812,13.38452,5.14907,0.852435441,3963.783576,0.482046923,..,185.0895517,50.064,119.9,..,2.1,4.2,108,..,-8.028,1.010899487,29.9312,..,77.0561,20.1013
Micronesia (Federated States of),0.62,Medium,136,67.88,11.54947988,7.804956,3982.736516,13,136,-2,..,..,88,13.924,0,..,..,..,..,0.113811,1.095,22.8,0.01217,0.073244,0.004768,24.362,3.0763,..,3,22,..,25.591372,30.756119,146.294,177.715,724.7,846.5,..,108,..,56.675896,12.351549,..,..,..,0,31.44008,97.17474,..,..,12.4595,0.390699547,3468.568421,-0.839038542,25.19627,112.0969899,..,123.4,..,6.2,16.2,..,100.8515,-5.357,2.476826429,35.3041,..,20.7377,-6.0019
Lao People's Democratic Republic,0.613,Medium,137,67.92,10.98724,5.288,7413.33163,-16,137,1,0.461,0.459,185,65.41,27.51677852,35.14817308,46.24109253,76.744,80.213,7.169456,1.526,35.6,0.794312,4.554977,0.298524,24.37,2.7,44.379486,27,31,33.06322,37.629811,47.33331,156.747,205.59,739.4,829.9,4.20125,162,0.3,60.70728,2.528087,84.66104,90.50107,94.40438,40.54689158,46.68268,102.36099,67.36178,14.96676,2.93781,56.11094084,7826.388595,3.076179912,..,135.8662523,77.982,121.7,..,6.1,12.9,116,75.09189,-2.098,0.673342674,25.5104,..,51.8634,-12.1995
Eswatini (Kingdom of),0.611,Medium,138,60.19,11.8430625,6.855161078,7919.058294,-19,139,5,0.432,0.567,437,76.695,12.12121212,31.34,33.88,48.527,56.78,1.148133,0.992,24,0.143539,0.667682,0.046084,20.729,3.0257,63.823479,4,19,25.54947,43.022836,54.36517,309.883,479.936,740.2,892.8,0.84235,329,27.3,50.610605,6.930378,88.41938,96.69525,94.29769,33.82,..,115.16014,82.41221,..,7.12767,9.975069967,8688.101493,0.953111552,..,162.5968983,40.91,304,11.55752804,9.6,25.4,104,84.41334,-7.378,2.814141256,47,..,93.5273,25.3664
Ghana,0.611,Medium,138,64.07,11.48333,7.306,5268.919684,-3,138,-1,0.44,0.538,308,66.611,13.09090909,55.74,71.63471177,63.629,71.891,30.417858,2.191,56.7,4.134774,18.110123,0.942141,21.507,3.8928,42.904526,3,8,17.52627,34.91044,47.908264,214.333,254.991,735.5,669.3,224.34158,148,1.7,58.220487,3.26237,79.03964,92.20855,92.761,63.08,114.54705,104.84141,64.57235,15.69177,3.98944,164.6405428,5412.628122,4.200436672,12.56975,268.360848,64.862,48.6,2.091241017,2.9,15.8,132,71.37819,-0.339,1.534559175,39,..,137.517,67.1489
Vanuatu,0.609,Medium,140,70.47,11.73391,7.064846,3104.799016,20,140,-5,..,..,72,49.437,0,..,..,60.956,78.781,0.299882,2.494,25.4,0.041363,0.17295,0.010846,21.112,3.8,72.6,5,20,28.8958,22.264336,26.444505,102.42,151.626,575.3,769.9,3.98736,46,..,57.598622,3.316853,87.50631,96.59661,95.97657,0,90.19299,109.29187,54.20477,..,4.69537,0.942717343,3143.627636,0.439048652,18.00775,117.1296693,66.811,69.1,..,2.7,8.1,120,97.94714,0.415,1.08209229,25.7198,..,79.8627,7.9207
Timor-Leste,0.606,Medium,141,69.5,12.616098,4.794383,4440.457586,3,141,-12,0.436,..,142,33.785,38.46153846,..,..,61.882,72.721,1.29312,1.944,30.9,0.174072,0.755464,0.055427,20.795,4.1,50.172226,8,15,51.65047,39.319926,45.782928,117.478,168.862,549,633.6,0,498,..,61.650002,3.882293,68.06683,84.65051,82.45848,0,22.7661,115.30781,83.61746,..,4.12844,4.038552153,3123.109437,1.403119355,25.04703,145.3760087,64.275,54.8,4.095983095,3.7,9,97,63.00655,-4.283,0.650906838,27.4927,..,103.241,59.9845
Nepal,0.602,Medium,142,70.78,12.75613,5.014,3456.706213,13,143,0,0.446,0.452,186,65.121,33.53293413,29.27355191,44.16,82.8,85.104,28.608715,1.512,20.2,2.707524,18.498405,1.654331,24.633,1.934,65.157356,4,8,36.05395,26.673507,32.184664,129.611,167.316,563.2,723.1,0.43994,151,0.1,61.507135,5.553295,67.90843,90.88347,94.03428,36.21218287,87.42785,142.14347,80.17992,12.41086,5.16365,97.7499909,3416.791281,5.043372214,20.70239,188.7299772,82.626,68.3,2.299783996,8,11.4,123,54.92592,1.486,1.715568441,34,..,139.446,105.405
Kenya,0.601,Medium,143,66.7,11.33941359,6.564,4243.62556,5,141,-3,0.443,0.518,342,75.078,23.26139089,29.84,37.314,72.128,77.345,52.573967,2.322,27.5,7.00945,30.694153,1.274297,20.119,3.52,61.39415,3,11,26.19083,30.622535,41.117802,194.507,264.72,357.4,418.2,70.09764,292,4.7,58.253119,4.802543,81.53497,88.08,87.59,35.2,75.75718,103.20534,..,11.46471,5.32024,227.6385415,4329.87139,2.998930483,15.08514,180.5148122,72.722,101.6,4.928728024,2.1,9.7,97,33.40144,-0.197,1.987397833,17.8271,13.451,96.3202,36.9138
Cambodia,0.594,Medium,144,69.82,11.46772,4.966,4246.178107,3,144,0,0.475,0.474,160,50.177,19.2513369,15.08,28.22107809,76.305,88.871,16.486542,1.486,23.8,1.780445,10.581561,0.777796,25.631,2.5238,65.205032,6,16,32.44908,24.047354,27.995322,132.376,199.971,623.2,743.2,23.69294,302,0.5,61.203715,5.918842,80.52649,92.57328,91.86412,22.42,23.82233,107.41485,..,13.68776,2.16286,72.35615051,4388.800909,5.516827769,17.05209,127.6334661,81.756,190.8,..,3.2,9,106,123.5565,-1.861,0.477049705,40,40,119.492,62.5423
Equatorial Guinea,0.592,Medium,145,58.74,9.73494,5.910863,13944.13223,-57,145,-6,..,..,301,155.622,19.18604651,..,..,54.775,67.073,1.355982,3.656,72.6,0.195136,0.822003,0.032874,22.335,4.5543,7.4,23,47,26.2,62.620239,85.306654,294.556,334.453,692.7,758.5,269.00928,201,7.1,57.21051,3.107094,94.37054,98.29817,97.69076,..,43.36199,61.77515,..,..,..,25.16439341,18558.00385,-8.849975429,6.0846,124.3467228,57.981,42.8,..,10.8,31.3,..,107.3813,12.443,16.78608776,26.24,..,45.1669,2.853
Zambia,0.584,Medium,146,63.89,11.478083,7.152016,3325.518591,10,145,0,0.401,0.539,213,120.112,17.96407186,38.48815291,54.06777528,70.37,79.076,17.861034,2.929,44.1,2.9015,9.541752,0.377812,17.592,4.6555,69.863228,6,7,34.58727,40.446619,57.841743,221.573,321.143,523.8,590.5,156.70129,346,11.3,55.081757,4.470341,86.74796,91.62819,92.55964,44.43952351,7.5651,98.71552,..,..,4.66738,62.14731484,3479.492215,-1.193782535,16.16132,212.308759,66.091,148.3,5.371749635,6.2,17.5,90,70.03503,-0.467,0.95318691,14.3,13.1725,89.157,49.1232
Myanmar,0.583,Medium,147,67.13,10.67024,5.034490583,4960.528169,-6,148,3,..,0.478,250,28.509,11.56773212,28.74,23.48,47.497,77.361,54.045422,0.646,30.9,4.511004,36.790827,3.249082,28.983,2.17,51.237877,7,16,29.37111,36.832771,46.194269,149.971,247.696,691.6,853.8,3.40407,338,0.8,60.852022,4.659072,75.5512,84.41379,85.11967,25.83254076,8.53093,112.30667,68.43682,18.81594,1.9726,277.9098816,5142.154166,2.246355673,5.367,168.1827007,60.693,171.3,2.258451326,9.8,6.3,112,60.68899,-3.05,0.140618761,30.6782,..,113.844,112.67011
Angola,0.581,Medium,148,61.15,11.777202,5.173993233,6104.05464,-17,145,-4,0.397,0.536,241,150.526,30,23.13283672,38.05568485,76.136,78.913,31.825299,3.288,66.2,5.67047,16.287743,0.699952,16.677,5.55,37.381931,33,49,37.57114,51.58504,77.164501,220.291,327.044,511.8,572.2,228.90895,355,2,56.745929,2.7915,66.03011,70.58513,84.86238,30.23189851,39.61102,113.47796,50.67148,9.33626,..,211.7625746,6653.907673,-4.032613542,9.22378,..,72.157,79.4,..,4.6,14,110,66.37801,0.211,2.103606581,14.3391,20.1973,43.1305,2.8699
Congo,0.574,Medium,149,64.57,11.72662,6.517170529,2879.190985,13,149,-2,0.43,0.57,378,112.229,13.63636364,46.72,51.34,67.532,71.396,5.380504,2.556,67.4,0.812951,2.99917,0.146421,19.204,4.45,32.85508,18,27,21.18722,36.187355,50.111652,240.201,279.572,535.9,531.9,235.07431,375,2.6,57.018061,2.930279,80.29876,78.74231,85.34165,48.81725696,..,..,..,12.66688,3.63639,17.74527921,3298.067619,-3.407564247,8.96374,124.7404961,62.87,26.2,..,5,13.9,99,112.2509,-0.771,7.474052636,8.65,..,95.3405,8.3264
